,product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link,discount
520,44433397,"Yêu Mình Trước Đã, Yêu Đời Để Sau",Vex King,4.6,2.95,5252,Others,597,4.8,343,Unknown,https://salt.tikicdn.com/ts/product/4f/d0/e7/304dc60d09641635b64a932b54ff54af.jpg,0.36
521,173763072,Tâm Lý Học Hẹn Hò - Nghệ Thuật Giao Tiếp Trong Tình Yêu,Nhiều tác giả,4.6,3.21,1336,Others,142,4.8,280,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/83/e2/62/649a2a3335e07bc133cf1e8b5adc29f4.jpg,0.3
522,204985083,Gia Định Là Nhớ Sài Gòn Là Thương_FN,Cù Mai Công,4.98,4.43,153,Others,15,5.0,226,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/82/87/62/69278f63e4a8a667c4c67c7a45c25e53.jpg,0.11
523,207494302,Tiểu Thuyết One Piece Film RED [Tặng Kèm Bìa Áo Và Poster Gập Sẵn Bên Trong],Eiichiro Oda,2.74,2.74,46,Others,8,5.0,244,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/4e/b3/7a/7aa1b8e0b2c4082fab0e1973f5b6830b.jpg,0.0
524,177321527,Cường Quốc Trong Tương Lai,Hamada Kazuyuki,5.02,3.13,148,Sách kinh tế học,17,5.0,280,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/e0/4e/0d/8c5f132b21736262f12a5ee290554250.jpg,0.38
525,130233544,Mèo Và Triết Lý Nhân Sinh - Mèo Đã Dạy Chúng Ta Điều Gì Về Cuộc Sống,John Gray,8.82,5.78,2672,Others,417,4.8,276,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/ef/cb/f4/767561983136b09005c54fc877189af3.jpg,0.34
526,198415075,Ikigami - Tập 10,Motoro MASE,1.9,1.65,287,Others,25,5.0,456,NXB Trẻ,https://salt.tikicdn.com/ts/product/ca/c2/00/aa9668c548f92f586105a367264fb5c6.jpg,0.13
527,206308045,Yu-Gi-Oh! Gx Tập 3: Vòng Bảng Kết Thúc!! [Tặng Kèm Bookmark PVC],Kazuki Takahashi,1.27,1.23,74,Others,6,4.8,192,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/c9/a6/a7/3c649431f124d0646d38382303f72790.jpg,0.03
528,12055610,Bàn Về Khoa Học,Leon Tolstoy,2.11,1.9,9,Kiến Thức Bách Khoa,0,0.0,80,Unknown,https://salt.tikicdn.com/ts/product/f4/a8/dc/7da52979aa5c1533b74471e1b7de4e31.jpg,0.1
529,196515658,Blue Period - Tập 04,Yasuhisa Hara,2.03,1.62,683,Others,109,5.0,456,NXB Trẻ,https://salt.tikicdn.com/ts/product/0b/47/a6/c0c6b79d8894219acaa53815f9ea9a22.jpg,0.2
530,192733741,Mùi hương - Tái Bản,Patrick Suskind,4.85,2.91,160,Tác phẩm kinh điển,24,5.0,456,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/1b/a6/d3/07effba774f36348076d35092592b996.jpg,0.4
531,73316977,Hành Trình Của Linh Hồn (Tái Bản 2020),Michael Duff Newton,5.44,3.81,1874,Others,281,4.8,430,Nhà Xuất Bản Văn Hoá Dân Tộc,https://salt.tikicdn.com/ts/product/d2/52/b5/b4c0bffcf1f5006a3420ac2ffd63e8f3.jpg,0.3
532,2216865,Pierre Và Jean,Guy De Maupassant,2.87,2.26,447,Tiểu Thuyết,35,4.8,236,Unknown,https://salt.tikicdn.com/ts/product/07/43/77/d40843de68c0ce87be09728722bd180e.jpg,0.21
533,202466690,"Cao Thủ ""Đổi Đen Thay Trắng"" - Tập 7",Phong Thư Lưu Ngốc,6.71,6.71,167,Truyện đam mỹ,40,5.0,408,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/87/80/55/87d190955fb4ab5962c7332894a9c45c.jpg,0.0
534,57905707,Chữ Số Và Thế Giới - Nguồn Gốc Bị Lãng Quên,Đỗ Minh Triết,6.12,4.51,1884,Lĩnh vực khác,314,4.8,420,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/14/72/41/38147755c1fe42d4de8d2d4de3227a59.jpg,0.26
535,13624088,Nghĩ Thiện Để Cuộc Đời Và Công Việc Viên Mãn,Inamori Kazuo,2.95,2.37,3213,Others,206,4.8,196,Unknown,https://salt.tikicdn.com/ts/product/0d/30/92/e49d2293c601bb8db2164ee14f7a8f3e.jpg,0.2
536,108684605,Trí Thông Minh Của Sự Tinh Tế,Tô Mạn,3.76,2.66,2676,Others,395,4.8,230,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/b8/d0/4d/e228d7481152597d9bbce83759866898.jpg,0.29
537,205576473,Đế Quốc Bóng Tối,Tiêu Đường Đông Qua,10.08,6.76,99,Truyện đam mỹ,18,5.0,520,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/66/7e/08/af39c4a1469dd8233fb9b3c8081b9213.jpg,0.33
538,196517620,Điểm Đến Cuộc Đời,Đặng Hoàng Giang,3.8,2.28,55,Others,5,5.0,236,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/5b/f0/8f/b672b98a1944a98c87667497d5e18421.jpg,0.4
539,197781972,Đi Hát Karaoke Đi,Yama Wayama,2.11,1.48,513,Others,88,5.0,164,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/64/75/30/6ddc9be10f3cc9685f811671cee6290f.jpg,0.3
540,199739996,Triệu Dấu Chân Qua Những Cửa Ô,Nguyễn Trương Quý,6.75,4.05,84,Truyện ngắn - Tản văn - Tạp Văn,3,5.0,388,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/c7/b6/0a/e4c55a3929508f04a0270f5ac681f191.jpg,0.4
541,106863962,Bên Rặng Tuyết Sơn (Tái Bản),Nguyên Phong,4.98,2.84,1056,Others,174,5.0,216,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/media/catalog/producttmp/59/f8/06/4db822daa293142f0eb74492f5f9c96c.jpg,0.43
542,146223395,Cách thức kinh doanh và đầu cơ cổ phiếu! – How to Trade in Stocks,Richard Smitten,14.73,14.73,3458,"Sách tài chính, tiền tệ",721,4.8,320,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/ec/7c/d4/d0150504bb477e8bcb22a0a205829cea.jpg,0.0
543,200672813,Combo Sách Seneca: Những Bức Thư Đạo Đức Tập 1 + Tập 2,Lucius Annaeus Seneca,13.0,13.0,1,Sách nghệ thuật sống đẹp,0,0.0,894,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/35/94/d9/bb8738a59fda5f8e9fa774fd6a9ab5c3.jpg,0.0
544,109310241,7 Chiến Lược Thịnh Vượng Và Hạnh Phúc (Tái Bản),Jim Rohn,3.59,2.51,384,Sách kỹ năng làm việc,37,5.0,216,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/f7/5b/4d/0118a524e4009423e60d399b028ab171.jpg,0.3
545,204078079,"Nghĩ bình đẳng, sống bình đẳng",Nhà nhiều cột,7.26,4.35,41,Others,5,5.0,274,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/6c/a3/88/978e1380a0b47a37e364c29bde50763a.jpg,0.4
546,13446508,Cánh Đồng Bất Tận (Tái Bản 2019),Nguyễn Ngọc Tư,3.59,2.55,5665,Truyện ngắn - Tản văn - Tạp Văn,714,5.0,220,Unknown,https://salt.tikicdn.com/ts/product/d7/5a/54/2410e2b33f6a496f02587d9ebcff2a2f.jpg,0.29
547,69978860,Sói đội lốt Cừu - Kẻ hiếu chiến ngầm và các thủ thuật thao túng tâm lí,Bác sĩ George K. Simon,3.04,2.95,4169,Others,826,4.8,172,Nhà Xuất Bản Kinh Tế TPHCM,https://salt.tikicdn.com/ts/product/e7/e7/33/15318503c9b390eb08ae487885903a61.png,0.03
549,36363381,Sao Chúng Ta Lại Ngủ,Matthew Walker PhD,10.51,7.39,1724,Others,337,5.0,488,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/86/d7/1f/869e64a5d697203e9449c3b94a972ff3.jpg,0.3
550,201437947,Komi - Nữ Thần Sợ Giao Tiếp - Tập 14,Tomohito Oda,1.05,1.05,239,Others,37,5.0,456,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/7d/ea/f8/e89831b95bb3e38717ef7b066a937d14.jpg,0.0
551,206675362,Nâng Cao Tần Số Rung Động Mỗi Ngày: Khám Phá Cách Năng Lượng Vận Hành,Lalah Delia,5.7,5.7,67,Others,3,4.3,220,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/1c/ee/b5/291fcace35051bf9562a4f362296a244.jpg,0.0
552,191045565,Cô Gái Mặc Váy Tím,Imamura Natsuko,4.01,2.41,262,Truyện ngắn - Tản văn - Tạp Văn,24,5.0,160,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/fd/87/d7/f3346d327283dfdf4cbce2dfe945b34f.jpg,0.4
553,168924459,Tàn Lửa,Shizukui Shusuke,7.81,4.68,749,Truyện trinh thám,148,5.0,484,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/8c/cd/b7/d8e35ad6df1897a4a8d638a80ced5faa.jpg,0.4
554,207852953,Blue Period - Tập 07,Yamaguchi Tsubasa,2.03,2.03,14,Others,1,5.0,192,NXB Trẻ,https://salt.tikicdn.com/ts/product/b3/69/07/aa645a4554ad29e6084a5c46cef68f86.jpg,0.0
555,38265901,Điều Quan Trọng Nhất – The Most Important Thing,Howard Marks,12.62,12.62,4356,"Sách tài chính, tiền tệ",568,4.7,378,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/b3/98/f3/97711a7a7a0efc3e6d3ecfae4a43655f.jpg,0.0
556,145287904,Sách - Giận (Tái Bản 2021)(Cuốn sách hay của Thiền sư Thích Nhất Hạnh/ Tặng kèm Bookmark),Unknown,5.7,5.7,3,Sách nghệ thuật sống đẹp,0,0.0,456,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/da/8c/a5/9c61d93b6d2c6420169e0e1eb84104d1.jpg,0.0
557,181379116,Hackers Toeic Vocabulary (Tái Bản),Hackers,11.77,7.55,223,Sách Học Tiếng Anh,40,4.8,556,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/e0/22/b4/338c84322f68aa7b5224288e65b765e6.jpg,0.36
558,100958457,Gieo Trồng Hạnh Phúc (Tái Bản),Thich Nhất Hạnh,3.76,2.63,1889,Sách nghệ thuật sống đẹp,209,5.0,279,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/5d/32/fd/ac76c74fea1e97c61330b4b429d90950.jpg,0.3
559,197230166,Sách - Đường Đến Tự Do - Tăng Tốc Hiệu Quả Tự Do Tài Chính Của Bạn - First News,Anthony Robbins,9.62,8.66,2,Bài học kinh doanh,0,0.0,432,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/c5/99/80/bcfa0de74afa6590fd53664b33faa952.png,0.1
560,50475521,Đánh Thức Con Người Phi Thường Trong Bạn (Tái Bản 2020),Anthony Robbins,7.09,4.04,5750,Others,796,4.8,408,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/b4/f1/53/d6d4fcc908f86a412b8b82598c39f55c.jpg,0.43
561,205928397,Hoàng Hậu Đỏ - Tình Dục Và Sự Tiến Hóa Của Bản Tính Người,Matt Rioley,12.62,7.95,19,Lĩnh vực khác,0,0.0,452,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/ee/74/00/e882cf51be314f5025008b441807ffc1.jpg,0.37
562,205617693,Sách Gia Định Là Nhớ Sài Gòn Là Thương - First News,Cù Mai Công,4.98,4.23,2802,Others,0,0.0,456,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/03/a4/ee/eb307c1e2e0c7b74fe33b3dec4dd71e4.jpg,0.15
563,200694869,Shaman King - Tập 19,Hiroyuki Takei,1.48,1.18,190,Others,19,5.0,456,NXB Trẻ,https://salt.tikicdn.com/ts/product/63/13/2a/e16b5a047ffe833a1233f27a781ccaf3.jpg,0.2
564,200630838,Bá Tước Tiểu Thư - Tập 5,Chieko Hosokawa,1.27,1.27,227,Others,22,5.0,456,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/e0/3f/9c/539fc5cae5c0edcd404e9b755addbc67.jpg,0.0
565,205756946,Vua Sáng Chế Tập 22,Tatsuki Nohda,0.84,0.84,78,Others,6,5.0,192,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/8f/6c/56/958a150beed2c88becff1022850765b1.jpg,0.0
566,100947274,Tìm Bình Yên Trong Gia Đình (Tái Bản),Thích Nhất Hạnh,4.18,2.92,1050,Sách nghệ thuật sống đẹp,94,5.0,302,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/9a/8d/24/559a2e2c5ce2e40c37c800d94fea0b48.jpg,0.3
567,194205626,Ngụy Chứng Của Solomon - Tập 1 Vụ Án,Miyabe Miyuki,13.92,8.35,220,Truyện ngắn - Tản văn - Tạp Văn,32,4.8,648,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/fc/b2/05/c8ea93e34c355dd108d3d2dadbb7a28d.jpg,0.4
568,50884654,Thiên Thần Và Ác Quỷ (Tái Bản),Dan Brown,8.82,6.41,848,Truyện trinh thám,182,4.6,728,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/20/a8/a2/0ee964542d0512b6ac9dbc3a798f6531.jpg,0.27
569,202153817,Những Chàng Trai Ở Lộc Phong Quán – Tập 11,Shimizu Yu,2.36,1.9,100,Others,12,5.0,176,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/5e/ff/17/1e956d474c7afedfdc30ccfd69a6019e.jpg,0.2
570,143513113,Con Yêu Bố Chừng Nào,Anita Jeram,3.33,2.0,706,Văn học thiếu nhi,72,5.0,32,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/2a/cf/14/a433018046824b573358c79aa26624b4.jpg,0.4
571,143186001,Chiến Thắng Con Quỷ Trong Bạn - Bí Quyết Tự Do Và Thành Công (Tái Bản),Napoleon Hill,4.85,3.4,1332,Others,186,4.8,293,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/bb/90/07/04472bee8e62705b145ea4a4d5f1736f.jpg,0.3
572,53434797,Sách Tài Chính Cá Nhân Cho Người Việt Nam - Tặng Khóa học Online về Tài chính,Lâm Minh Chánh,8.44,5.91,12588,"Sách tài chính, tiền tệ",1702,4.7,456,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/81/34/dc/00fcee7647f70393c484eb3b8302bb1c.jpg,0.3
573,11371249,Chuyện Con Mèo Và Con Chuột Bạn Thân Của Nó - Tái Bản,Luis Sepulveda,1.65,1.14,6370,Tiểu Thuyết,590,5.0,456,Unknown,https://salt.tikicdn.com/ts/product/f5/f5/40/62bb35c144c9125da4cb24a980932ae1.jpg,0.31
574,5067167,Tôi Là Ai - Và Nếu Vậy Thì Bao Nhiêu? (Tái Bản 2018),Unknown,5.32,3.19,4057,Others,312,4.7,503,Unknown,https://salt.tikicdn.com/ts/product/fa/06/e2/1dc31f0ad2dbfb845b351ce9e714e5d5.jpg,0.4
575,766164,Chuyện Tình Đích Thực Siêu Buồn,Gary Shteyngart,5.02,3.8,548,Tiểu Thuyết,22,4.3,402,Unknown,https://salt.tikicdn.com/media/catalog/product/c/h/chuyen-tinh-dich-thuc-sieu-buon-01.u5505.d20170803.t165249.480048.jpg,0.24
576,195801674,Khúc Hát Của Chim Ca Và Rắn Độc,Suzanne Collins,9.96,6.71,171,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,18,5.0,644,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/56/46/bf/40b59192d57d5ffebb5a2e3c2f7c14bb.jpg,0.33
577,93734071,Trí Thông Minh Trên Giường,Esther Perel,9.24,7.21,170,Others,22,4.7,484,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/04/90/c1/0e3060bb0a170ced73d9cd0e123bd489.jpg,0.22
578,200619497,Cô Bạn Tôi Thầm Thích Lại Quên Mang Kính Rồi - Tập 6,Koume Fujichika,1.6,1.56,257,Others,38,4.8,456,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/7b/50/4e/851f11a50f48271ef2e8cb22a643c102.jpg,0.03
579,58441509,Ăn Uống Đúng Cách: Bộ Quy Tắc Ẩm Thực Lành Mạnh,Michael Pollan,4.89,2.94,3107,Others,461,4.7,170,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/1e/d4/a7/1974f5197502d01688cb747c0ceed768.jpg,0.4
580,199241861,Arya Bàn Bên Thỉnh Thoảng Lại Trêu Ghẹo Tôi Bằng Tiếng Nga – Tập 1,Sunsunsun,4.01,3.12,816,Others,147,4.7,304,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/9a/23/01/3d873c3ae27e8848c3909096f3989768.jpg,0.22
581,188548615,Combo Chiến Tranh Tiền Tệ 1+2+3+4 ( Song Hong Bing ),Unknown,20.97,20.97,2802,"Sách tài chính, tiền tệ",0,0.0,456,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/b5/05/f4/064e11d1e02161eb3b0fd972efaca816.jpg,0.0
582,111285054,Quẳng Gánh Lo Đi & Vui Sống (Tái Bản),Dale Carnegie,3.63,2.39,1565,Sách nghệ thuật sống đẹp,187,5.0,312,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/d0/c2/04/af1acf9c243b19d989186488af670b0d.jpg,0.34
583,22634335,Kỹ Năng Quản Lý Nhân Sự Chuyên Nghiệp,Whitney Johnson,5.02,3.54,3603,Others,297,4.8,300,Unknown,https://salt.tikicdn.com/ts/product/2c/95/8c/2d45594f8df4e549317d3624ddd88e3f.jpg,0.29
585,6563565,10 vạn câu hỏi vì sao - trọn bộ 5 tập,Đức Anh,9.24,6.62,15471,Kiến thức - Bách khoa,1674,4.7,203,Unknown,https://salt.tikicdn.com/ts/product/63/3e/6d/cd60627a92eb68c66c88ad2210296975.jpg,0.28
586,19662184,Một Lít Nước Mắt (Tái Bản 2019),Kito Aya,3.38,2.03,2312,Tiểu sử - Hồi ký,367,4.8,289,Unknown,https://salt.tikicdn.com/ts/product/b6/f7/2e/2d306aa5a1bfb526e78bd0457e3d3ab2.jpg,0.4
587,73165394,Nơi Khu Rừng Chạm Tới Những Vì Sao,Glendy Vanderah,7.55,4.73,2189,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,531,4.7,508,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/02/9f/0e/92ac0533439de4351247a5c4fea2a036.jpg,0.37
588,60808682,Bệnh Án Của Thần Linh 2,Unknown,5.7,2.28,470,Truyện ngắn - Tản văn - Tạp Văn,110,4.8,388,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/b9/c2/62/5ff1a1db34087f81d46484dce1fd05d5.jpg,0.6
589,188535338,Bàn Về Âm Nhạc - Trò Chuyện Cùng Seiji Ozawa,Haruki Murakami,7.09,4.25,392,Lĩnh vực khác,52,5.0,400,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/69/f3/ab/b0a300f923b271b4d20fc81e23225319.jpg,0.4
590,194104633,Ăn Chay Cùng Nhi,Dương Yến Nhi,10.51,6.78,437,Others,47,5.0,192,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/e3/c1/c5/03fc664a1134098e341b5816ccb4fee1.jpg,0.35
591,73222800,Nghĩ Giàu Và Làm Giàu (Khổ Nhỏ),Napoleon Hill,4.56,3.0,1535,Bài học kinh doanh,277,4.7,416,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/3d/c6/eb/bcb715674842719103e296f6355c08b3.jpg,0.34
592,198296788,Thân Tâm Trí,Daniel J. Siegel,6.71,4.47,130,Others,5,3.8,352,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/6c/5d/d3/2771b391a3ec3fd02e081c5893a12b2f.jpg,0.33
593,197634256,Black Jack - Tập 14 (Bìa Cứng),Osamu Tezuka,5.7,4.95,290,Others,30,5.0,456,NXB Trẻ,https://salt.tikicdn.com/ts/product/e3/c6/a8/d78ed25861a3a6601a0e964aac493296.jpg,0.13
594,202650475,Chiến Quốc Tung Hoành - Thế Cục Quỷ Cốc Tử Tập 13,Hàn Xuyên Tử,9.28,6.88,86,Tiểu Thuyết,14,5.0,588,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/e8/a0/66/937cb07d24296d7c19025b301832a047.jpg,0.26
595,195187480,"Thiên Quan Tứ Phúc - Tập 6 (Tiểu thuyết, đam mỹ)",Mặc Hương Đồng Khứu,6.71,5.02,480,Truyện đam mỹ,112,5.0,368,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/00/9f/bc/3c0326d53f0ea274838ed5e0ba5c6e88.jpg,0.25
596,198414191,Hành Trình Nhân Loại Nguồn Gốc Của Thịnh Vượng Và Bất Bình Đẳng ( Bìa mềm),Oded Galor,9.66,6.58,275,Kiến Thức Bách Khoa,23,4.7,300,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/5d/a9/01/025be08d5f36459bd5bfed57a2e443dc.jpg,0.32
597,196001721,Sự Trỗi Dậy Và Suy Tàn Của Các Cường Quốc ( Tái bản),Paul Kennedy,23.92,16.54,205,Lịch Sử Thế Giới,31,4.8,944,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/97/fb/e8/d036c0a16756f62bca3805bb9e6f4793.jpg,0.31
598,169546325,Lời Hứa Về Một Cây Bút Chì (Tái Bản),Adam Braun,6.71,4.56,227,Others,46,5.0,364,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/c1/8f/38/3376f38d72a45bcfc408eab33c354d96.jpg,0.32
599,201431426,Vua Sáng Chế - Tập 20,Tatsuki Nohda,0.84,0.81,210,Others,19,5.0,456,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/59/47/ca/d2c7692d29f2ee672506057b3fdd46a8.jpg,0.05
600,107026337,Eleanor Oliphant Hoàn Toàn Ổn,Gail Honeyman,7.85,4.32,921,Tiểu Thuyết,210,5.0,496,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/30/78/f7/f02f7d083c178374de7728250f57b7ac.jpg,0.45
601,47242742,Ma Thuật Bị Cấm,Higashino Keigo,4.85,2.91,2213,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,303,4.7,300,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/11/43/ef/0b9d78ae8eb01ae4aa85e6354d3c49dd.jpg,0.4
602,11371241,1Q84 (Tập 1) - Tái Bản,Haruki Murakami,5.82,3.49,991,Tiểu Thuyết,118,4.8,456,Unknown,https://salt.tikicdn.com/ts/product/5f/ee/f3/6ee420477826d0917b482868dfe67f69.jpg,0.4
603,197781967,Cậu Khiến Tôi “Phát Rồ” - There Is No Other,Yama Wayama,2.11,1.9,470,Others,84,5.0,172,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/7c/76/18/48cb293295425cb03c1bd6ab42b08daa.jpg,0.1
604,96616370,Con Đường Trở Thành Freelance Writer - Tôi Đã Kiếm 800.000.000 Một Năm Từ Viết Lách Như Thế Nào? (Tái Bản),Linh Phan,9.28,7.43,2165,Sách Marketing - Bán hàng ,389,4.8,256,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/b5/bd/d0/1103fcb114a69146c294d1312e473026.jpg,0.2
605,1747347,Chìa Khóa Để Trở Thành Người Đa Ngôn Ngữ,Hồ Thu Hương,4.6,2.97,4329,Others,197,4.6,268,Unknown,https://salt.tikicdn.com/ts/product/31/dc/4d/aa35ec2d66c2cd4dacefffea41d6dbcc.jpg,0.35
606,72202103,Con Chim Xanh Biếc Bay Về (Nguyễn Nhật Ánh) (Bìa Mềm),Nguyễn Nhật Ánh,6.33,4.56,16154,Tiểu Thuyết,4284,5.0,396,NXB Trẻ,https://salt.tikicdn.com/media/catalog/producttmp/44/21/26/f48cfb6bd1217fe7981f5e4ce42e8da2.jpg,0.28
607,66090079,Cơ Thể Tự Chữa Lành: Giải Cứu Gan,Anthony William,10.55,6.41,4579,Others,815,5.0,624,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/82/94/9d/45b1cef918c75c92ffeb8f4d911df2f4.jpg,0.39
608,9695881,Nghệ Thuật đầu tư Dhandho - The Dhandho Investor,Mohnish Pabrai,10.04,10.04,10662,"Sách tài chính, tiền tệ",1740,4.8,260,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/c5/4a/4e/1ee8d321cc7354f83babfb2dacaa7266.jpg,0.0
609,204363203,Lớp Học Rùng Rợn - Tập 3,Emi Ishikawa,1.27,1.27,117,Others,7,5.0,456,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/a6/00/ba/ca19447514d1bdb2c2b0c3dda4084fcb.jpg,0.0
610,100376369,Đứa Con Gái Hoang Đàng - Hai Số Phận - Phần II,Jeffrey Archer,7.81,5.27,3058,Tiểu Thuyết,747,4.6,836,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/b2/01/d3/558095f027444a6b9a1e50d483f48e9c.jpg,0.32
611,197719874,Suy Nghĩ Thống Kê Trong Đời Thường,Nguyễn Văn Tuấn,6.75,5.74,804,Sách kỹ năng làm việc,91,5.0,392,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/55/5e/a6/dd0a224ea101cbefb2770bb9c4f5a30d.jpg,0.15
612,69162891,Mang Thai Sinh Nở Và Nuôi Con Khỏe Mạnh  Cuốn Sách Về Mang Thai Được Tìm Kiếm Nhiều Nhất Tại Hàn Quốc,Kim Geon Oh,11.18,8.05,1972,Others,366,5.0,384,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/48/cc/1d/16091c5a41033f89dc92342b0f550511.jpg,0.28
613,76012191,"Ta Bắt Đầu Cuộc Đời Mới, Khi Nhận Ra Mình Chỉ Sống Một Lần",Raphaëlle Giordano,4.56,2.73,1354,Truyện ngắn - Tản văn - Tạp Văn,209,5.0,292,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/91/d7/a4/0b66b99912f2daf81b09fdde03a9a722.jpg,0.4
614,4218241,Một Ý Niệm Khác Về Hạnh Phúc (Tái Bản),Marc Levy,4.14,2.48,1594,Tiểu Thuyết,134,5.0,322,Unknown,https://salt.tikicdn.com/ts/product/17/94/11/c8f1c69d0cd1c767e17314427d478b5c.jpg,0.4
615,110944231,Đường Về Tỉnh Thức (What is Mindfulness?),Tamara Russell,3.29,1.87,565,Others,64,5.0,216,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/media/catalog/producttmp/db/24/58/c97ea707106f813a3521047ffc20443d.jpg,0.43
